id;email_server_host;email_server_port;user_name;password;servico_tls;servico_ssl;teste
1;Minnesota Open-architected Lebanon;Tugrik Wooden;Plastic;capacitor;false;true;true
2;Officer;feed;communities;Officer Quality-focused invoice;true;true;false
3;Health Polarised transmitting;Rhode Island Music Data;Dynamic Savings Account Branding;whiteboard payment Incredible;true;false;true
4;Incredible Frozen Pizza recontextualize;transmit Awesome optimal;THX;copy Dynamic;false;true;true
5;SAS help-desk SAS;Plastic Nigeria;firmware;seamless mesh;true;false;false
6;Pine Optimized;eyeballs Movies;Savings Account Pakistan Rupee;connect Berkshire;true;true;true
7;indexing Lead;leading-edge enable synthesize;Operative Place;generate 1080p;true;true;true
8;Sports violet;Dynamic;Principal;invoice;false;false;false
9;Inlet yellow Shoes;Open-source multi-tasking;Data;Moldova archive;true;true;true
10;zero administration networks;Christmas Island;Dong;haptic;false;true;false
